FID,OBJECTID,SHAPE,ANL_NAME,BEZIRK,SPIELPLATZ_DETAIL,TYP_DETAIL,SE_ANNO_CAD_DATA
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-ca0,492325,POINT (16.34568377615084 48.21106320762379),Hamerlingpark,8,"Balancieren, Fußball, Karussell, Klettern, Rutschen, Sandspielen, Schaukeln, Spielhaus, Tischtennis, Wippen","Ballspielkäfig, Ballspielplatz, Kleinkinderspielplatz, Spielplatz",
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-c9f,492326,POINT (16.466012428489663 48.15170211566187),PA Csokorgasse,11,"Balancieren, Basketball, Drehen, Fußball, Klettern, Rutschen, Sandspielen, Schaukeln, Wippen","Ballspielkäfig, Kleinkinderspielplatz, Spielplatz",
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-c9e,492327,POINT (16.36816052310555 48.23490500365131),Hugo-Gottschlich-Park,20,"Klettern, Rutschen, Sand-Matsch, Sandspielen, Wasserspiel, Wippen",Kleinkinderspielplatz,
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-c9d,492328,POINT (16.372432963526613 48.235476363900474),Hugo-Gottschlich-Park,20,"Basketball, Fußball, Hängematte, Karussell, Klettern, Reck, Rutschen, Schaukeln, Sinnesspiel, Trampolin","Ballspielkäfig, Kleinkinderspielplatz, Spielplatz",
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-c9c,492329,POINT (16.455637171893553 48.257572558494445),PA Falcogasse,22,"Klettern, Rutschen, Sandspielen, Wasserspiel, Wippen",Kleinkinderspielplatz,
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-c9b,492330,POINT (16.485282927907207 48.159643744619025),PA Mannswörther Straße,11,"Rutschen, Schaukeln, Wippen",Kleinkinderspielplatz,
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-c9a,492331,POINT (16.456915938482098 48.25122169751482),Ladinigpark,22,"Fitness, Trampolin",Generationenspielplatz,
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-c99,492332,POINT (16.45775034945228 48.25179789159801),Ladinigpark,22,"Klettern, Sandspielen, Schaukeln","Kleinkinderspielplatz, Spielplatz",
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-c98,492333,POINT (16.352369315659054 48.19362747594608),Richard-Waldemar-Park,6,"Basketball, Fußball, Klettern","Ballspielkäfig, Spielplatz",
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-c97,492334,POINT (16.34067980856174 48.20747260695648),Josef-Strauß-Park,7,"Basketball, Fitness, Fußball, Karussell, Klettern, Reck, Rutschen, Sandspielen, Schaukeln, Spielhaus, Tischtennis, Volleyball, Wasserspiel, Wippen","Ballspielkäfig, Ballspielplatz, Generationenspielplatz, Kleinkinderspielplatz, Spielplatz",
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-c96,492335,POINT (16.43883256235928 48.23866063634183),GA Donaustadtstraße,22,"Basketball, Fußball, Volleyball",Ballspielkäfig,
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-c95,492336,POINT (16.357366032112466 48.25372303520265),Heiligenstädter Park,19,"Basketball, Fußball, Klettern, Rutschen, Schaukeln, Tischtennis, Volleyball, Wippen","Ballspielkäfig, Ballspielplatz, Spielplatz",
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-c94,492337,POINT (16.361791762409542 48.252056831561696),Heiligenstädter Park,19,"Karussell, Klettern, Rutschen, Sandspielen, Schaukeln, Wippen","Kleinkinderspielplatz, Spielplatz",
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-c93,492338,POINT (16.360944783382934 48.17457044023658),Barankapark-Hellerwiese,10,"Drehen, Fußball, Hängematte, Klettern, Sandspielen, Schaukeln, Spielhaus, Streetball, Wippen","Ballspielkäfig, Spielplatz",
