FID,OBJECTID,SHAPE,ANL_NAME,BEZIRK,SPIELPLATZ_DETAIL,TYP_DETAIL,SE_ANNO_CAD_DATA
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-f19,492816,POINT (16.347144528559024 48.182370270743135),PA Mittelzone,12,"Fußball, Streetball","Ballspielkäfig, Ballspielplatz",
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-f18,492817,POINT (16.34605728902422 48.18374029227824),PA Mittelzone,5,Fitness,Generationenspielplatz,
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-f17,492818,POINT (16.33491121791974 48.21454732848459),GA Ottakringer Straße,16,Geschicklichkeitsspiel,Spielplatz,
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-f16,492819,POINT (16.41785140656668 48.1828095372034),PA Hallergasse,11,"Balancieren, Basketball, Fitness, Fußball, Klettern, Schaukeln","Ballspielkäfig, Ballspielplatz, Generationenspielplatz, Spielplatz",
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-f15,492820,POINT (16.381550844665938 48.24503408798653),PA Friedrich-Engels-Platz,20,"Basketball, Fußball, Hängematte, Karussell, Klettern, Reck, Rutschen, Sand-Matsch, Schaukeln, Spielhaus, Themenspiel Pyramidenspielplatz, Trampolin, Wasserspiel, Wippen","Ballspielkäfig, Themenspielplatz",
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-f14,492821,POINT (16.27538199525041 48.19675573784607),Baumgartner-Casino-Park,14,"Basketball, Fußball, Karussell, Klettern, Malen, Rollschuhfahren, Rutschen, Sandspielen, Schaukeln, Seilbahn, Spielhaus, Tischtennis, Trampolin, Wippen","Ballspielkäfig, Ballspielplatz, Kleinkinderspielplatz, Spielplatz, sonstiger Spielplatz",
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-f13,492822,POINT (16.30601312212028 48.205956965943194),GA Lorenz-Mandl-Gasse,16,"Balancieren, Klettern, Rutschen, Schaukeln, Slacklining, Wippen","Kleinkinderspielplatz, sonstiger Spielplatz",
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-f12,492823,POINT (16.419422753185362 48.17381186733134),PA Krötzlergasse,11,"Klettern, Rutschen, Sandspielen, Wippen",Kleinkinderspielplatz,
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-f11,492824,POINT (16.450197965439063 48.25515116983672),PA Ferdinand-Stransky-Weg,22,Fußball,Ballspielplatz,
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-f10,492825,POINT (16.410922377830097 48.181329661634095),Hyblerpark,11,"Bodenspiel, Drehen, Karussell, Klettern, Rutschen, Sandspielen, Schaukeln, Wippen","Kleinkinderspielplatz, Spielplatz",
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-f0f,492826,POINT (16.41268921481771 48.18213356910119),Hyblerpark,11,"Basketball, Beachvolleyball, Fußball",Ballspielplatz,
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-f0e,492827,POINT (16.50187436783217 48.223280713515365),Hannah-Arendt-Park,22,", Fitness, Hängematte, Karussell, Klettern, Rutschen, Schaukeln, Trampolin, Wasserspiel, Wippen","Generationenspielplatz, Kleinkinderspielplatz, Spielplatz",
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-f0d,492828,POINT (16.501028457852534 48.22371808561488),Hannah-Arendt-Park,22,Slacklining,sonstiger Spielplatz,
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-f0c,492829,POINT (16.335250489359208 48.201831079474346),Märzpark,15,", Balancieren, Basketball, Fußball, Klettern, Rutschen, Sandspielen, Schaukeln, Volleyball, Wippen","Ballspielplatz, Kleinkinderspielplatz, Spielplatz",
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-f0b,492830,POINT (16.524555551917295 48.21233196452082),PA Raphael-Donner-Allee,22,"Beachvolleyball, Skaten","Ballspielplatz, Skaterpark",
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-f0a,492831,POINT (16.524533911010845 48.213194565557274),PA Raphael-Donner-Allee,22,"Klettern, Rutschen, Sand-Matsch, Sandkiste, Schaukeln, Tischtennis, Wasserspiel, Wippen","Ballspielplatz, Spielplatz",
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-f09,492832,POINT (16.310547909031186 48.12631323634142),PA Pollakgasse,23,"Klettern, Rutschen, Sandspielen, Schaukeln, Trampolin, Wippen","Kleinkinderspielplatz, Spielplatz",
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-f08,492833,POINT (16.31181408914204 48.12602359896232),PA Pollakgasse,23,Fußball,Ballspielplatz,
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-f07,492834,POINT (16.31742969250816 48.20069888949306),PA Neusserplatz,15,"Klettern, Rutschen, Sandspielen, Schaukeln, Wippen",Spielplatz,
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-f06,492835,POINT (16.379061086858616 48.16066408646465),PA Heuberggstätten,10,"Fitness, Fußball, Klettern, Rutschen, Schaukeln, Tischtennis, Volleyball, Wippen","Ballspielplatz, Generationenspielplatz, Kleinkinderspielplatz, Spielplatz",
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-f05,492836,POINT (16.43611162392254 48.24871459294092),PA Schrickgasse,22,Fußball,Ballspielplatz,
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-f04,492837,POINT (16.437002344075026 48.24961820463112),PA Schrickgasse,22,Fußball,Ballspielplatz,
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-f03,492838,POINT (16.31985599497209 48.203569534158795),GA Auf der Schmelz,15,"Karussell, Klettern, Reck, Rutschen, Sandspielen, Schaukeln, Tischtennis, Wippen","Ballspielplatz, Spielplatz",
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-f02,492839,POINT (16.367466630982122 48.23572137786722),PA Leipziger Platz,20,"Basketball, Fußball",Ballspielkäfig,
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-f01,492840,POINT (16.28748453916025 48.1850805498748),Hügelpark,13,"Balancieren, Drehen, Fußballplatz, Hüpfen, Rutschen, Sandspielen, Schaukeln, Wippen","Ballspielplatz, Kleinkinderspielplatz",
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-f00,492841,POINT (16.490997876214557 48.22575073593391),PA An den alten Schanzen,22,"Basketball, Fußball, Klettern, Rutschen, Sand-Matsch, Sandspielen, Schaukeln, Tischtennis, Wasserspiel, Wippen","Ballspielplatz, Kleinkinderspielplatz, Spielplatz",
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-eff,492882,POINT (16.399678438811705 48.273638398431274),Waldpark Koloniestraße,21,"Balancieren, Karussell, Klettern, Rutschen, Schaukeln, Slackline","Spielplatz, sonstiger Spielplatz",
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-efe,492883,POINT (16.368876516671605 48.17797693097453),PA Erlachplatz,10,"Basketball, Drehen, Fußball, Klettern, Rutschen, Sandspielen, Schauklen, Volleyball, Wippen","Ballspielkäfig, Ballspielplatz, Kleinkinderspielplatz",
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-efd,492884,POINT (16.35376120731166 48.22086511543096),Arne-Karlsson-Park,9,"Basketball, Fußball, Klettern, Rodelhügel, Rutschen, Sandspielen, Schaukeln, Spielhaus, Tischtennis, Wippen","Ballspielkäfig, Ballspielplatz, Kleinkinderspielplatz, sonstiger Spielplatz",
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-efc,492885,POINT (16.29408472854118 48.2151915283257),Katharinenruhe,16,"Streicheltier, Wippen",Kleinkinderspielplatz,
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-efb,492886,POINT (16.41487924271102 48.17042219381916),Braunhuberpark,11,"Balancieren, Drehen, Klettern, Rutschen, Sandspielen, Schaukeln, Wippen","Kleinkinderspielplatz, Spielplatz",
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-efa,492887,POINT (16.392357648380077 48.232855872245516),PA Innstraße,2,"Fußball, Karussell, Klettern, Rutschen, Sand-Matsch, Sandspielen, Schaukeln, Wippen","Ballspielplatz, Kleinkinderspielplatz, Spielplatz",
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-ef9,492888,POINT (16.23943793807067 48.21316031054197),PA Viktor-Kutschera-Platz,14,Fußball,Ballspielplatz,
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-ef8,492889,POINT (16.340690772866605 48.149618763598724),Draschepark,23,Fußball,Ballspielplatz,
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-ef7,492890,POINT (16.34476435954031 48.151478119915836),Draschepark,23,"BMX, Fußball, Klettern, Rutschen, Schaukeln","Ballspielkäfig, Spielplatz, sonstiger Spielplatz",
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-ef6,492891,POINT (16.41301331803003 48.27509470352413),PA Wankläckergasse,21,"Federwippe, Fußball, Klettern, Schaukel","Ballspielplatz, Spielplatz",
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-ef5,492892,POINT (16.34735690322048 48.18704342436285),PA Am Hundsturm,5,"Drehen, Klettern, Rutschen, Schaukeln, Streetball","Ballspielplatz, Kleinkinderspielplatz, Spielplatz",
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-ef4,492893,POINT (16.324856930427668 48.23425737361431),Albert-Dub-Park,18,"Basketball, Fußball, Klettern, Rutschen, Sandspielen, Schaukeln, Wippen","Ballspielkäfig, Kleinkinderspielplatz, Spielplatz",
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-ef3,492894,POINT (16.28313685174085 48.198784495023105),Waidhausenpark,14,"Fitness, Klettern, Rutschen, Sandspielen, Schaukeln, Wippen","Generationenspielplatz, Kleinkinderspielplatz, Spielplatz",
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-ef2,492895,POINT (16.300819994519447 48.14756977845352),PA Riegermühle,23,"Fußball, Hängematte, Karussell, Schaukeln","Ballspielplatz, Spielplatz",
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-ef1,492896,POINT (16.32141528236512 48.241222720183316),Dr.-Meißner-Park,19,"Rutschen, Sandspielen, Schaukeln, Wippen",Spielplatz,
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-ef0,492897,POINT (16.317718982839807 48.14852428469439),Hedy-Wunsch-Park,23,"Drehen, Fußball, Klettern, Rutschen, Schaukeln","Ballspielplatz, Spielplatz",
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-eef,492898,POINT (16.326644981665023 48.24441962144591),PA Gustav-Pick-Gasse,19,"Klettern, Rutschen, Sandspielen, Schaukeln",Kleinkinderspielplatz,
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-eee,492899,POINT (16.37163810630975 48.214528547590454),Rudolfspark,1,"Fitness, Klettern, Rutschen, Sandspielen, Schaukeln, Wippen",Spielplatz,
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-eed,492900,POINT (16.362121007363594 48.2563933424703),PA Steinbüchlweg,19,"Klettern, Rutschen, Sandspielen, Sinnesspiel, Wippen",Kleinkinderspielplatz,
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-eec,492901,POINT (16.40547304436183 48.27665899070876),PA Haspingerplatz,21,"Fitness, Holzpyramide, Hängematte, Klettern, Rutsche, Rutschen, Sandspielen, Schaukel, Schaukeln, Seilbahn, Trampolin, Wasserspiel, Wippen","Generationenspielplatz, Kleinkinderspielplatz, Spielplatz",
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-eeb,492902,POINT (16.34528352039803 48.24197274208994),Karl-Fellinger-Park,19,"Klettern, Rutschen, Schaukeln",Spielplatz,
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-eea,492903,POINT (16.407646932656952 48.28138139160363),GA Bernreiterplatz,21,"Balancieren, Klettern, Schaukeln, Wippen",Spielplatz,
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-ee9,492904,POINT (16.348352244220944 48.231951439522106),Währinger Park,18,"Basketball, Klettern, Rutschen, Sandspiel, Schaukeln, Slackline, Spielhaus, Spieltier, Tischtennis, Wippen","Ballspielkäfig, Ballspielplatz, Kleinkinderspielplatz, Spielplatz, sonstiger Spielplatz",
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-ee8,492905,POINT (16.350380745951064 48.233407300121726),Währinger Park,18,"Balancieren, Drehen, Karussell, Klettern, Rutschen, Sandspielen, Schaukeln, Wippen",Spielplatz,
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-ee7,492906,POINT (16.355424315903658 48.187818951543896),Bacherpark,5,"Boccia, Fußball, Klettern, Rutschen, Sandspielen, Schaukeln, Streetball, Tischtennis, Wippen","Ballspielkäfig, Ballspielplatz, Kleinkinderspielplatz, Spielplatz",
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-ee6,492907,POINT (16.282835577623075 48.22591931981742),PA Röntgengasse,17,"Basketball, Fußball, Rutschen, Sandspielen, WIppen","Ballspielkäfig, Kleinkinderspielplatz",
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-ee5,492908,POINT (16.39717840235881 48.243256830109225),Linker Donaudamm Spielplatz 4,21,"Beachvolleyball, Hängematte, Klettern, Rutschen, Sandspielen, Schaukeln, Wippen","Ballspielplatz, Spielplatz",
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-ee4,492909,POINT (16.38497724579096 48.238271399702626),Allerheiligenpark,20,"Basketball, Drehen, Fitness, Fußball, Karussell, Klettern, Rutschen, Sandspielen, Schaukeln, Tischtennis, Volleyball, Wippen","Ballspielkäfig, Ballspielplatz, Generationenspielplatz, Kleinkinderspielplatz, Spielplatz",
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-ee3,492910,POINT (16.423184712111897 48.1775718388995),PA Mautner-Markhof-Gasse,11,"Fußball, Klettern, Rutschen, Sandspielen, Schaukeln, Wasserspiel, Wippen","Ballspielplatz, Kleinkinderspielplatz",
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-ee2,492911,POINT (16.30495579792425 48.15200348323389),PA Trepetschniggasse,23,"Fitnessgeräte, Karussell, Rutschen, Sandspielen, Schaukeln, Seilbahn, Wippen","Generationenspielplatz, Kleinkinderspielplatz, Spielplatz",
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-ee1,492912,POINT (16.358634316997986 48.172392817469515),Fortunapark,10,"Basketball, Fitness, Fußball, Klettern, Rutschen, Sandspielen, Seilbahn, Tischtennis, Wippen","Ballspielkäfig, Ballspielplatz, Generationenspielplatz, Kleinkinderspielplatz, Spielplatz",
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-ee0,492913,POINT (16.277244696170506 48.20595838724904),Steinhofer Park,14,"Klettern, Rutschen, Sandspielen, Schaukeln",Spielplatz,
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-edf,492914,POINT (16.286026162850565 48.20809127069848),Steinhofer Park,14,"Basketball, Fußball, Klettern, Rutschen, Sandspielen, Schaukeln, Seilbahn, Streetball, Wippen","Ballspielkäfig, Ballspielplatz, Kleinkinderspielplatz, Spielplatz",
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-ede,492915,POINT (16.352246131292738 48.197438157436714),Esterházypark,6,"Bastketball, Fitness, Karussell, Klettern, Rutschen, Sandspielen, Schaukeln, Tischtennis, Wasserspiel","Ballspielkäfig, Ballspielplatz, Generationenspielplatz, Spielplatz",
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-edd,492916,POINT (16.317826421704293 48.231496939546126),Leopold-Rosenmayr-Park,18,Basketball,Ballspielkäfig,
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-edc,492917,POINT (16.413575757328434 48.225115667765614),Wasserspielplatz Donauinsel,22,"Sand-Matsch, Wasserspiel",Wasserspielplatz,
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-edb,492918,POINT (16.43248222327849 48.246948369274726),Kirschblütenpark,22,"Klettern, Rutsche, Rutschen, Schaukel, Schaukeln, Skaten, Streetball, Volleyball, Wasserspiel, Wippe","Ballspielplatz, Kleinkinderspielplatz, Skaterpark, Spielplatz",
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-eda,492919,POINT (16.432530306735753 48.24830107457503),Kirschblütenpark,22,Balancieren,Spielplatz,
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-ed9,492920,POINT (16.331613291130886 48.21243663922894),GA Gaullachergasse,16,Spieltiere,Kleinkinderspielplatz,
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-ed8,492921,POINT (16.489650552771888 48.27653479883749),Badeteich Süßenbrunn,22,"Klettern, Rutschen, Schaukeln, Wippen",Spielplatz,
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-ed7,492922,POINT (16.35929535517833 48.21197982530973),Rathauspark,1,"Klettern, Rutschen, Sand-Matsch, Sandspielen, Wasserspiel, Wippen",Kleinkinderspielplatz,
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-ed6,492923,POINT (16.41977440817407 48.22460303907411),Linker Donaudamm Spielplatz 2,22,"Hängematte, Klettern, Rutschen, Sandspielen, Schaukeln, Wippen",Spielplatz,
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-ed5,492924,POINT (16.37723402033328 48.2465003986279),PA Kapaunplatz,20,"Basketball, Boccia, Bodenspiel, Fußball, Klettern, Reck, Rutschen, Schaukeln, Trampolin","Ballspielkäfig, Ballspielplatz, Spielplatz",
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-ed4,492925,POINT (16.4384800622789 48.24709850157212),PA Meißnergasse,22,"Basketball, Boccia, Fitness, Hängematten, Hüpfspiele, Klettern, Rutschen, Sandspielen, Schaukeln, Spielhaus, Tischtennis, Volleyball, Wasserspiel, Wippen","Ballspielplatz, Generationenspielplatz, Kleinkinderspielplatz, Spielplatz, Wasserspielplatz, sonstiger Spielplatz",
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-ed3,492926,POINT (16.214944405496507 48.20517505691322),PA Hofjägerstraße,13,"Balancieren, Hängematte, Klettern, Rutschen, Sandspielen, Schaukeln","Kleinkinderspielplatz, Spielplatz",
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-ed2,492927,POINT (16.36323484795076 48.189705996777256),Wanda-Lanzer-Park,4,"Fitness, Generationenspielplatz, Rutschen, Schaukeln, Spielhaus, Wippen","Generationenspielplatz, Kleinkinderspielplatz",
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-ed1,492928,POINT (16.411386857729255 48.302614020011255),Karl-Brunner-Park,21,"Rutschen, Schaukeln, Wippen",Kleinkinderspielplatz,
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-ed0,492929,POINT (16.468069004813817 48.23444924047332),PA Kartouschgasse,22,"Klettern, Rutschen, Schaukeln, Wippen",Spielplatz,
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-ecf,492930,POINT (16.46843024068845 48.23373441245069),PA Kartouschgasse,22,Fußball,Ballspielplatz,
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-ece,492842,POINT (16.28595742184881 48.19646458992153),Gustav-Klimt-Park,14,"Balancieren, Fitness, Generationenspielplatz, Hängematte, Klettern, Malen, Rutschen, Sandspielen, Schaukeln, Seilbahn, Wippen","Generationenspielplatz, Kleinkinderspielplatz, Spielplatz",
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-ecd,492843,POINT (16.294142960712758 48.143348474860346),PA Reklewskigasse,23,"Fitness, Fußball, Hängematte, Klettern, Rutschen, Sandspielen, Schaukeln, Seilbahn, Wippen","Ballspielplatz, Generationenspielplatz, Kleinkinderspielplatz, Spielplatz",
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-ecc,492844,POINT (16.31880114184232 48.23718380324251),Gerda-Lerner-Park,18,"Klettern, Reck, Rutschen, Sandspielen, Schaukeln, Wippen","Kleinkinderspielplatz, Spielplatz",
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-ecb,492845,POINT (16.39161026995987 48.26090776406486),PA Tetmajergasse,21,"Hüpfen, Klettern, Rutschen, Sand-Matsch, Sandspielen, Schaukeln, Seilbahn, Streetball, Wasserspiel, Wippen","Ballspielkäfig, Spielplatz",
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-eca,492846,POINT (16.374974922384038 48.190543791443226),GA St.-Elisabeth-Platz,4,"Karussell, Reck, Schaukeln, Wippen",Kleinkinderspielplatz,
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-ec9,492847,POINT (16.36790834512178 48.186656050861274),Alois-Drasche-Park,4,"Balancieren, Basketball, Fitnessgeräte, Fußball, Hängematte, Klettern, Rodelhügel, Sandspielen, Schaukeln, Tischtennis, Wippen","Ballspielkäfig, Ballspielplatz, Generationenspielplatz, Kleinkinderspielplatz, Spielplatz, sonstiger Spielplatz",
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-ec8,492848,POINT (16.338712609959913 48.22576151581245),Schubertpark,18,Balancieren,Spielplatz,
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-ec7,492849,POINT (16.339185125005777 48.22683395311512),Schubertpark,18,", Basketball, Drehen, Fußball, Klettern, Rutschen, Sandspielen, Schaukeln, Spieltier, Tischtennis, Volleyball, Wippen","Ballspielkäfig, Ballspielplatz, Kleinkinderspielplatz, Spielplatz",
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-ec6,492850,POINT (16.388560594490233 48.148703094113664),PA Bergtaidingweg,10,"Klettern, Schaukeln, Wippen",Kleinkinderspielplatz,
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-ec5,492851,POINT (16.36835538442385 48.24014023460083),PA Spielmanngasse,20,"Balancieren, Hüpfen, Karussell, Klettern, Reck, Rutschen, Sand-Matsch, Schaukeln, Themenspiel Kuniburg, Wasserspiel, Wippen",Themenspielplatz,
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-ec4,492852,POINT (16.526121090872262 48.2147611529152),Bill-Grah-Park,22,"Klettern, Wippen",Spielplatz,
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-ec3,492853,POINT (16.397875258630283 48.137238951409465),PA Bischofplatz,10,"Drehen, Klettern, Rutschen, Schaukeln, Spielhaus, Wippen",Kleinkinderspielplatz,
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-ec2,492854,POINT (16.368591543697548 48.17139086589306),PA Van-der-Nüll-Gasse,10,Tischtennis,Ballspielplatz,
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-ec1,492855,POINT (16.45018790499718 48.23221666982486),Otto-Affenzeller-Park,22,"Klettern, Rutschen, Schaukeln, Wippe",Spielplatz,
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-ec0,492856,POINT (16.359667238832884 48.242575593065276),Wertheimsteinpark,19,"Klettern, Rutschen, Sandspielen, Schaukeln, Slackline, Spielhaus, Wippen","Spielplatz, sonstiger Spielplatz",
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-ebf,492857,POINT (16.359629242521763 48.24352256674865),Wertheimsteinpark,19,"Basketball, Fußball",Ballspielkäfig,
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-ebe,492858,POINT (16.384910533620623 48.1665585420053),Alfred-Böhm-Park,10,"Basketball, Fußball, Klettern, Rutschen, Sand-Matsch, Schaukeln, Seilbahn, Skaten, Spielhaus, Tischtennis, Volleyball","Ballspielkäfig, Ballspielplatz, Skaterpark, Spielplatz",
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-ebd,492859,POINT (16.357778028594403 48.16519035776331),GA Stefan-Fadinger-Platz,10,Sandspielen,Kleinkinderspielplatz,
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-ebc,492860,POINT (16.308125842848078 48.22129568693372),Kongreßpark,16,"Klettern, Rutschen, Sandspielen, Schaukeln, Sinnesspiel, Slackline, Wippen","Kleinkinderspielplatz, sonstiger Spielplatz",
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-ebb,492861,POINT (16.30802638399303 48.222266508161276),Kongreßpark,16,"Balancieren, Klettern, Reck, Rutschen, Sandspielen, Schaukeln, Spieltier, Tischtennis, Wippen","Ballspielplatz, Kleinkinderspielplatz, Spielplatz",
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-eba,492862,POINT (16.308522152624715 48.223027858380284),Kongreßpark,16,"Basketball, Fußball",Ballspielkäfig,
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-eb9,492863,POINT (16.466886580707104 48.224050096673174),PA Rosmaringasse,22,"Fußball, Klettern, Rutschen, Sandspielen, Schaukeln, Wippen","Ballspielkäfig, Spielplatz",
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-eb8,492864,POINT (16.348721834535823 48.21771550204753),PA AKH,9,"Fitness, Klettern, Rutschen, Sandspielen, Schaukeln, Wippen",Kleinkinderspielplatz,
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-eb7,492865,POINT (16.433563689458534 48.25216149115967),PA Rudolf-Köppl-Gasse,22,"Rutschen, Sandspielen, Schaukeln, Wippe",Spielplatz,
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-eb6,492866,POINT (16.319077275028864 48.196761812114254),Forschneritschpark,15,"Basketball, Fitness, Fußball, Karussel, Klettern, Rutsche, Sandspielen, Schaukeln, Spieltier, Tischtennis, Wippen","Ballspielkäfig, Ballspielplatz, Generationenspielplatz, Kleinkinderspielplatz",
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-eb5,492867,POINT (16.30106097101373 48.16726100380913),PA Karl-Kraus-Gasse,12,"Klettern, Rutschen, Sandspielen","Kleinkinderspielplatz, Spielplatz",
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-eb4,492868,POINT (16.41130249855326 48.29982559256685),PA Luckenschwemmgasse,21,"Balancieren, Karussell, Rutschen, Schaukeln, Wippen",Spielplatz,
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-eb3,492869,POINT (16.306870921986985 48.24766654518102),Ottingerwiese,19,"Balancieren, Rutschen, Schaukeln, Spieltier, Wippen",Kleinkinderspielplatz,
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-eb2,492870,POINT (16.40545183357102 48.216966192897175),Wolfgang-Kössner-Park,2,"Balancieren, Hängematte, Klettern, Rutschen, Sand- Matsch, Schaukeln, Streetball, Wasserspiel","Ballspielplatz, Kleinkinderspielplatz, Spielplatz",
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-eb1,492871,POINT (16.393585305041324 48.23589535920332),Rechter Donaudamm Spielplatz 3,20,"Karussell, Klettern, Rutschen, Sandspielen, Schaukeln, Wippen",Spielplatz,
SPIELPLATZPUNKTOGD.fid-6b31b764_175f1f73206_-eb0,492872,POINT (16.3902763442141 48.23610897827863),PA Traisengasse,20,Fußball,Ballspielplatz,
